Epoch,Train Loss,Train Acc,Val Loss,Val Acc,LR
1,1.433,50.0,8.3735,26.92,0.001
2,1.0164,66.78,4.0407,47.44,0.001
3,0.6859,76.71,2.1086,44.87,0.001
4,0.4624,85.27,1.2044,70.51,0.001
5,0.2007,93.15,0.963,73.08,0.001
6,0.2897,92.81,1.2194,69.23,0.001
7,0.2986,90.41,0.8492,74.36,0.001
8,0.4632,91.44,1.1801,65.38,0.001
9,0.2966,91.44,1.3831,61.54,0.001
10,0.3421,89.38,2.4236,52.56,0.0005
11,0.2407,95.21,1.3258,70.51,0.0005
12,0.1304,96.92,0.866,82.05,0.0005
13,0.1032,97.26,0.702,78.21,0.0005
14,0.0498,99.66,0.7221,74.36,0.0005
15,0.1247,99.32,0.8543,75.64,0.00025
16,0.0697,98.29,0.9964,76.92,0.00025
17,0.15,96.92,0.7777,75.64,0.00025
